TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,245.7521,no,18-24,south asian,male,Unknown,-23.5757,6.8450,-0.1539,0.0016,0.0059,0.4212,0.0251,0.0040,0.2828,0.1928,-4.4333,3.8688,0.0000,3.7619,3.8688,0.0004,0.0008,0.2653,0.0382,3.9751,3.5008,6.1959,0.3115,0.0770,0.0038,0.0000,95.3955,0.0455,0.0000,0.0001,41.4116,0.0001,59.8029,0.0016,0.0016,0.0016,0.0035,0.0018,0.0040,0.0000,0.0018,2.2981,2.2981,0.0018,0.2483,
0.0000,0,162.5996,no,35-44,caucasian,male,Unknown,-1.6601,5.1657,-14.6612,0.0013,0.0060,0.4262,0.0332,0.0129,0.1395,0.2089,-6.5619,4.3134,0.0000,0.0022,0.0000,4.3134,0.0003,0.0147,0.0425,17.2612,0.0008,0.1715,0.0007,0.0003,0.0017,0.0000,96.6652,0.0000,0.0000,0.1797,0.0345,0.0000,24.5498,0.0016,0.0013,0.0013,0.0018,0.0018,0.0129,0.0000,0.0036,2.3035,2.3035,0.0018,0.0682,
0.0000,0,174.9016,no,18-24,south asian,male,Unknown,-25.6479,5.0984,-3.1139,0.0018,0.0052,0.4257,0.0307,0.0046,0.2246,0.1927,-2.7803,0.2015,0.0000,3.7651,0.2015,0.0001,0.0020,0.0137,0.1112,4.9414,1.5733,0.2597,0.0159,0.0005,0.0001,0.0000,96.7084,0.0000,0.0000,0.0001,47.2370,0.0025,2.4262,0.0018,0.0018,0.0018,0.0024,0.0019,0.0046,0.0000,0.0020,2.2979,2.2979,0.0018,0.0305,
0.0000,0,166.1711,no,35-44,caucasian,male,Unknown,-6.1494,6.3740,-15.2257,0.0013,0.0064,0.4422,0.0352,0.0253,0.1317,0.2119,-12.0463,5.0916,0.0000,0.0056,0.0006,5.0916,0.0002,0.7929,0.0120,33.6231,0.0147,0.0456,0.0387,0.0212,0.0001,0.0000,95.7921,0.0000,0.0000,0.2167,2.8058,0.0006,78.5382,0.0015,0.0013,0.0013,0.0018,0.0018,0.0253,0.0000,3.2227,2.3375,2.3375,0.0018,0.4841,
0.0000,0,160.3749,no,35-44,south asian,male,Unknown,-2.8652,3.4137,-12.3971,0.0018,0.0046,0.4295,0.0245,0.0048,0.1878,0.1981,-0.4413,0.3453,0.0000,0.0032,0.0002,0.3453,0.0009,0.1928,0.0017,0.4227,0.0002,0.3730,0.0001,0.0031,0.2008,0.0000,97.6276,0.0000,0.0000,0.0011,0.0030,0.0001,38.4250,0.0018,0.0018,0.0018,0.0018,0.0018,0.0048,0.0000,0.0018,2.2985,2.3016,0.0018,0.1130,
0.0000,0,169.4076,no,35-44,south asian,male,Unknown,-15.6164,-0.2938,13.7065,0.0018,0.0046,1.0680,0.0235,0.0878,0.1936,0.1931,-36.1644,23.0164,0.0022,0.0133,0.0642,0.0000,0.0269,23.0164,0.0000,80.8653,0.1162,0.1428,1.1284,0.0198,0.0203,0.0000,98.7147,0.0009,0.0000,0.0000,25.5257,0.0297,7.7934,0.0018,0.0018,0.0018,0.0019,0.0018,0.0878,0.0000,0.0018,2.2991,3.7725,0.0018,0.0372,
0.0000,0,159.8498,no,35-44,caucasian,male,Unknown,1.0334,-1.1456,23.0242,0.0018,0.0045,0.4259,0.0241,0.0046,0.1929,0.1927,-0.1821,0.0025,0.0000,0.0231,0.0025,0.0000,0.0001,0.0006,0.1493,0.1987,0.0489,0.0356,0.0000,0.0028,0.0000,0.0000,98.4796,0.0000,0.0000,0.0001,0.0027,0.0000,79.7461,0.0018,0.0018,0.0018,0.0018,0.0019,0.0046,0.0000,0.0018,2.2980,2.3494,0.0018,0.5059,
0.0000,0,161.4858,no,45-54,hispanic,male,Smiley,-0.6792,0.6748,16.8145,99.9305,0.0002,0.0044,0.0000,0.0000,2.2949,0.0001,88.2768,99.9989,99.9989,0.0018,0.0033,0.0160,9.6853,0.8349,0.0000,21.2244,0.0003,0.3009,0.0004,99.9871,0.0004,0.0000,98.6143,0.0000,99.9199,0.0018,0.0234,0.1131,3.1349,0.0018,99.8588,0.2098,0.0018,0.0018,0.0000,0.0000,0.0024,2.5691,2.5691,0.0018,0.0314,
0.0000,0,164.2394,no,35-44,hispanic,male,Rage,-7.2009,0.8530,10.9834,0.0000,3.4399,1.0459,15.8460,93.8765,0.0001,71.6393,-65.0589,99.9203,0.0009,0.1165,0.0000,99.9203,0.0046,0.0021,0.0000,66.5358,0.0080,48.1654,2.1170,0.0027,49.9125,0.0008,98.5648,0.0000,0.0000,4.1057,86.5439,2.2172,0.9332,0.0000,0.0000,0.0000,0.0018,0.0018,93.8765,0.0035,75.3227,2.3438,2.3438,0.0018,0.0289,
0.0000,0,168.0005,no,45-54,hispanic,male,Relaxed,-11.1066,0.4130,16.4431,99.8200,0.0000,0.0005,0.0000,0.0004,0.1974,0.0002,57.4782,94.8272,94.8272,0.0007,0.3864,0.0011,2.7470,1.2451,0.0000,99.6997,0.0023,14.0102,4.3458,0.0058,0.0362,0.0001,98.6841,0.0000,0.1608,0.0012,91.4813,0.5605,4.1638,99.8200,0.0015,0.0015,0.0018,0.0018,0.0004,0.0000,0.3991,23.4911,23.4911,0.0018,0.0326,
